Part	Value	Device	Package	Description	ASK	ASK_CUSTOMERPN	ASK_PN	ASK+PSK+MIFARE	ASK+FSK+MIFARE	FSK	FSK_CUSTOMERPN	FSK_PN	MIFARE	MIFARE_CUSTOMERPN	MIFARE_PN	PASSIVO	PN1	PSK	PSK_CUSTOMERPN	PSK_PN	SPECIAL
BZ1	F/TMB	F/TMB	F/TMB	BUZZER Source: Buerklin	X	BUZ-REP	PS1240P02BT	1	1	X	BUZ-REP	PS1240P02BT	X	BUZ-REP	PS1240P02BT			X	BUZ-REP	PS1240P02BT	
C1	4.7u	C-USC0603	C0603	CAPACITOR, American symbol	X	C/4.7u/16V/C06	CL10A475KO8NNNC	1	1	X	C/4.7u/16V/C06	CL10A475KO8NNNC	X	C/4.7u/16V/C06	CL10A475KO8NNNC	Sim		X	C/4.7u/16V/C06	CL10A475KO8NNNC	
C2	ESK108M016AH2AA	ESK108M016AH2AA	ESK108M016AH2AA		X	C/1m/16V/PTH	ESK108M016AH2AA	1	1	X	C/1m/16V/PTH	ESK108M016AH2AA	X	C/1m/16V/PTH	ESK108M016AH2AA	Sim		X	C/1m/16V/PTH	ESK108M016AH2AA	
C3	10n	C-USC0402	C0402	CAPACITOR, American symbol	X	C/10n/50V/C04	CL05B103KB5NNNC	1	1	X	C/10n/50V/C04	CL05B103KB5NNNC	X	C/10n/50V/C04	CL05B103KB5NNNC	Sim		X	C/10n/50V/C04	CL05B103KB5NNNC	
C4	4.7u	C-USC0603	C0603	CAPACITOR, American symbol	X	C/4.7u/16V/C06	CL10A475KO8NNNC	1	1	X	C/4.7u/16V/C06	CL10A475KO8NNNC	X	C/4.7u/16V/C06	CL10A475KO8NNNC	Sim		X	C/4.7u/16V/C06	CL10A475KO8NNNC	
C5	10u	C-USC0805	C0805	CAPACITOR, American symbol	X	C/10u/25V/A08	GRM188R61E106MA73D	1	1	X	C/10u/25V/A08	GRM188R61E106MA73D	X	C/10u/25V/A08	GRM188R61E106MA73D	Sim		X	C/10u/25V/A08	GRM188R61E106MA73D	
C6	0.1u	C-USC0402	C0402	CAPACITOR, American symbol	X	C/0.1u/16V/A04	CL05B104KO5NNNC	1	1	X	C/0.1u/16V/A04	CL05B104KO5NNNC	X	C/0.1u/16V/A04	CL05B104KO5NNNC	Sim		X	C/0.1u/16V/A04	CL05B104KO5NNNC	
C7	10n	C-USC0402	C0402	CAPACITOR, American symbol	X	C/10n/50V/C04	CL05B103KB5NNNC	1	1	X	C/10n/50V/C04	CL05B103KB5NNNC	X	C/10n/50V/C04	CL05B103KB5NNNC	Sim		X	C/10n/50V/C04	CL05B103KB5NNNC	
C8	10u	C-USC0805	C0805	CAPACITOR, American symbol	X	C/10u/25V/A08	GRM188R61E106MA73D	1	1	X	C/10u/25V/A08	GRM188R61E106MA73D	X	C/10u/25V/A08	GRM188R61E106MA73D	Sim		X	C/10u/25V/A08	GRM188R61E106MA73D	
C9	0.1u	C-USC0402	C0402	CAPACITOR, American symbol	X	C/0.1u/16V/A04	CL05B104KO5NNNC	1	1	X	C/0.1u/16V/A04	CL05B104KO5NNNC	X	C/0.1u/16V/A04	CL05B104KO5NNNC	Sim		X	C/0.1u/16V/A04	CL05B104KO5NNNC	
