Part	Value	Device	Package	Description	ASK	ASK_CUSTOMERPN	ASK_PN	CUSTOMERPN	FSK	FSK_PN	FSK_CUSTOMERPN	MIFARE	PASSIVO	MIFARE_PN	MIFARE_CUSTOMERPN	PN1	PSK	PSK_PN	SPECIAL	PSK_CUSTOMERPN
BZ1	F/TMB	F/TMB	F/TMB	BUZZER Source: Buerklin	X	BUZ-REP	PS1240P02BT		X	PS1240P02BT	BUZ-REP	X		PS1240P02BT	BUZ-REP		X	PS1240P02BT		BUZ-REP
C1	4.7u	C-USC0603	C0603	CAPACITOR, American symbol	X	C/4.7u/16V/C06	CL10A475KO8NNNC		X	CL10A475KO8NNNC	C/4.7u/16V/C06	X	Sim	CL10A475KO8NNNC	C/4.7u/16V/C06		X	CL10A475KO8NNNC		C/4.7u/16V/C06
C2	ESK108M016AH2AA	ESK108M016AH2AA	ESK108M016AH2AA		X	C/1m/16V/PTH	ESK108M016AH2AA		X	ESK108M016AH2AA	C/1m/16V/PTH	X	Sim	ESK108M016AH2AA	C/1m/16V/PTH		X	ESK108M016AH2AA		C/1m/16V/PTH
C3	10n	C-USC0402	C0402	CAPACITOR, American symbol	X	C/10n/50V/C04	CL05B103KB5NNNC		X	CL05B103KB5NNNC	C/10n/50V/C04	X	Sim	CL05B103KB5NNNC	C/10n/50V/C04		X	CL05B103KB5NNNC		C/10n/50V/C04
C4	4.7u	C-USC0603	C0603	CAPACITOR, American symbol	X	C/4.7u/16V/C06	CL10A475KO8NNNC		X	CL10A475KO8NNNC	C/4.7u/16V/C06	X	Sim	CL10A475KO8NNNC	C/4.7u/16V/C06		X	CL10A475KO8NNNC		C/4.7u/16V/C06
C5	10u	C-USC0805	C0805	CAPACITOR, American symbol	X	C/10u/25V/A08	GRM188R61E106MA73D		X	GRM188R61E106MA73D	C/10u/25V/A08	X	Sim	GRM188R61E106MA73D	C/10u/25V/A08		X	GRM188R61E106MA73D		C/10u/25V/A08
C6	0.1u	C-USC0402	C0402	CAPACITOR, American symbol	X	C/0.1u/16V/A04	CL05B104KO5NNNC		X	CL05B104KO5NNNC	C/0.1u/16V/A04	X	Sim	CL05B104KO5NNNC	C/0.1u/16V/A04		X	CL05B104KO5NNNC		C/0.1u/16V/A04
C7	10n	C-USC0402	C0402	CAPACITOR, American symbol	X	C/10n/50V/C04	CL05B103KB5NNNC		X	CL05B103KB5NNNC	C/10n/50V/C04	X	Sim	CL05B103KB5NNNC	C/10n/50V/C04		X	CL05B103KB5NNNC		C/10n/50V/C04
C8	10u	C-USC0805	C0805	CAPACITOR, American symbol	X	C/10u/25V/A08	GRM188R61E106MA73D		X	GRM188R61E106MA73D	C/10u/25V/A08	X	Sim	GRM188R61E106MA73D	C/10u/25V/A08		X	GRM188R61E106MA73D		C/10u/25V/A08
C9	0.1u	C-USC0402	C0402	CAPACITOR, American symbol	X	C/0.1u/16V/A04	CL05B104KO5NNNC		X	CL05B104KO5NNNC	C/0.1u/16V/A04	X	Sim	CL05B104KO5NNNC	C/0.1u/16V/A04		X	CL05B104KO5NNNC		C/0.1u/16V/A04
C10	0.1u	C-USC0402	C0402	CAPACITOR, American symbol	X	C/0.1u/16V/A04	CL05B104KO5NNNC		X	CL05B104KO5NNNC	C/0.1u/16V/A04	X	Sim	CL05B104KO5NNNC	C/0.1u/16V/A04		X	CL05B104KO5NNNC		C/0.1u/16V/A04
C11	0.1u	C-USC0402	C0402	CAPACITOR, American symbol	X	C/0.1u/16V/A04	CL05B104KO5NNNC		X	CL05B104KO5NNNC	C/0.1u/16V/A04	X	Sim	CL05B104KO5NNNC	C/0.1u/16V/A04		X	CL05B104KO5NNNC		C/0.1u/16V/A04
C12	10u	C-USC0805	C0805	CAPACITOR, American symbol	X	C/10u/25V/A08	GRM188R61E106MA73D		X	GRM188R61E106MA73D	C/10u/25V/A08	X	Sim	GRM188R61E106MA73D	C/10u/25V/A08		X	GRM188R61E106MA73D		C/10u/25V/A08
C13	18p	C-USC0603	C0603	CAPACITOR, American symbol	X	C/18p/50V/D06	CL05C180JB5NNNC		X	CL05C180JB5NNNC	C/18p/50V/D06	X	Sim	CL05C180JB5NNNC	C/18p/50V/D06		X	CL05C180JB5NNNC		C/18p/50V/D06
C14	0.1u	C-USC0402	C0402	CAPACITOR, American symbol	X	C/0.1u/16V/A04	CL05B104KO5NNNC		X	CL05B104KO5NNNC	C/0.1u/16V/A04	X	Sim	CL05B104KO5NNNC	C/0.1u/16V/A04		X	CL05B104KO5NNNC		C/0.1u/16V/A04
C15	18p	C-USC0603	C0603	CAPACITOR, American symbol	X	C/18p/50V/D06	CL05C180JB5NNNC		X	CL05C180JB5NNNC	C/18p/50V/D06	X	Sim	CL05C180JB5NNNC	C/18p/50V/D06		X	CL05C180JB5NNNC		C/18p/50V/D06
C16	0.1u	C-USC0402	C0402	CAPACITOR, American symbol	X	C/0.1u/16V/A04	CL05B104KO5NNNC		X	CL05B104KO5NNNC	C/0.1u/16V/A04	X	Sim	CL05B104KO5NNNC	C/0.1u/16V/A04		X	CL05B104KO5NNNC		C/0.1u/16V/A04
C17	0.1u	C-USC0402	C0402	CAPACITOR, American symbol	X	C/0.1u/16V/A04	CL05B104KO5NNNC		X	CL05B104KO5NNNC	C/0.1u/16V/A04	X	Sim	CL05B104KO5NNNC	C/0.1u/16V/A04		X	CL05B104KO5NNNC		C/0.1u/16V/A04
C18	220n	C-USC0402	C0402	CAPACITOR, American symbol	X	C/220n/25V/C04	C1005X5R1E224K050BC						Sim							
C19	4.7n	C-USC0402	C0402	CAPACITOR, American symbol	X	C/4.7n/25V/D04	CL05B472KA5NNNC						Sim							
C20	4.7n	C-USC0402	C0402	CAPACITOR, American symbol	X	C/4.7n/25V/D04	CL05B472KA5NNNC						Sim							
C21	DNP	C-USC0805	C0805	CAPACITOR, American symbol	X	DNP			X	DNP	DNP		Sim				X	DNP		
C22	1n	C-USC1812	C1812	CAPACITOR, American symbol	X	C/1n/500V/E18	C1812C102FBGACTU		X	C1812C102FBGACTU	C/1n/500V/E18		Sim				X	C1812C102FBGACTU		C/1n/500V/E18
C23	68p	C-USC0402	C0402	CAPACITOR, American symbol	X	C/68p/25V/D04	CL05C680JB5NNNC													
C24	68p	C-USC0402	C0402	CAPACITOR, American symbol	X	C/68p/25V/D04	CL05C680JB5NNNC													
C25	0.1u	C-USC0402	C0402	CAPACITOR, American symbol	X	C/0.1u/16V/A04	CL05B104KO5NNNC		X	CL05B104KO5NNNC	C/0.1u/16V/A04		Sim				X	CL05B104KO5NNNC		C/0.1u/16V/A04
C26	220n	C-USC0402	C0402	CAPACITOR, American symbol	X	C/220n/25V/C04	C1005X5R1E224K050BC						Sim							
C27	220n	C-USC1206	C1206	CAPACITOR, American symbol	X	C/220n/200V/C12	C3216X7T2E224K160AA		X	C3216X7T2E224K160AA	C/220n/200V/C12		Sim				X	C3216X7T2E224K160AA		C/220n/200V/C12
C28	1n	C-USC1206	C1206	CAPACITOR, American symbol	X	C/1n/200V/C12	CL31C102JHHNFNE		X	CL31C102JHHNFNE	C/1n/200V/C12		Sim				X	CL31C102JHHNFNE		C/1n/200V/C12
